id,title__en,description__en,icon,tags,props__url,props__scheme,props__osi_approved
dotseqn,Dotseqn License,,,all,https://spdx.org/licenses/Dotseqn,spdx,
ecl-1.0,Educational Community License v1.0,,,"all,software",https://opensource.org/license/ecl-1-0,spdx,y
ecl-2.0,Educational Community License v2.0,,,"all,software",https://opensource.org/license/ecl-2-0,spdx,y
efl-1.0,Eiffel Forum License v1.0,,,"all,software",https://opensource.org/license/efl-1-0,spdx,y
efl-2.0,Eiffel Forum License v2.0,,,"all,software",https://opensource.org/license/ver2_eiffel-php,spdx,y
epics,EPICS Open License,,,all,https://spdx.org/licenses/EPICS,spdx,
epl-1.0,Eclipse Public License 1.0,,,"all,software",https://opensource.org/license/epl-1-0,spdx,y
epl-2.0,Eclipse Public License 2.0,,,"all,software",https://opensource.org/license/epl-2-0,spdx,y
eudatagrid,EU DataGrid Software License,,,"all,software",https://opensource.org/license/eudatagrid-php,spdx,y
eupl-1.0,European Union Public License 1.0,,,"all,sofware",https://spdx.org/licenses/EUPL-1.0,spdx,
eupl-1.1,European Union Public License 1.1,,,"all,software",https://opensource.org/license/eupl-1-1,spdx,y
eupl-1.2,European Union Public License 1.2,,,"all,software",https://opensource.org/license/eupl-1-2,spdx,y
entessa,Entessa Public License v1.0,,,"all,software",https://opensource.org/license/entessa,spdx,y
erlpl-1.1,Erlang Public License v1.1,,,all,https://spdx.org/licenses/ErlPL-1.1,spdx,
eurosym,Eurosym License,,,all,https://spdx.org/licenses/Eurosym,spdx,
fsfap,FSF All Permissive License,,,all,https://spdx.org/licenses/FSFAP,spdx,
fsful,FSF Unlimited License,,,all,https://spdx.org/licenses/FSFUL,spdx,
fsfullr,FSF Unlimited License (with License Retention),,,all,https://spdx.org/licenses/FSFULLR,spdx,
ftl,Freetype Project License,,,all,https://spdx.org/licenses/FTL,spdx,
fair,Fair License,,,"all,software",https://opensource.org/license/fair,spdx,y
frameworx-1.0,Frameworx Open License 1.0,,,"all,software",https://opensource.org/license/frameworx-php,spdx,y
freeimage,FreeImage Public License v1.0,,,all,https://spdx.org/licenses/FreeImage,spdx,
gfdl-1.1-invariants-only,GNU Free Documentation License v1.1 only - invariants,,,all,https://spdx.org/licenses/GFDL-1.1-invariants-only,spdx,
gfdl-1.1-invariants-or-later,GNU Free Documentation License v1.1 or later - invariants,,,all,https://spdx.org/licenses/GFDL-1.1-invariants-or-later,spdx,
gfdl-1.1-no-invariants-only,GNU Free Documentation License v1.1 only - no invariants,,,all,https://spdx.org/licenses/GFDL-1.1-no-invariants-only,spdx,
gfdl-1.1-no-invariants-or-later,GNU Free Documentation License v1.1 or later - no invariants,,,all,https://spdx.org/licenses/GFDL-1.1-no-invariants-or-later,spdx,
gfdl-1.1-only,GNU Free Documentation License v1.1 only,,,all,https://spdx.org/licenses/GFDL-1.1-only,spdx,
gfdl-1.1-or-later,GNU Free Documentation License v1.1 or later,,,all,https://spdx.org/licenses/GFDL-1.1-or-later,spdx,
gfdl-1.2-invariants-only,GNU Free Documentation License v1.2 only - invariants,,,all,https://spdx.org/licenses/GFDL-1.2-invariants-only,spdx,
gfdl-1.2-invariants-or-later,GNU Free Documentation License v1.2 or later - invariants,,,all,https://spdx.org/licenses/GFDL-1.2-invariants-or-later,spdx,
gfdl-1.2-no-invariants-only,GNU Free Documentation License v1.2 only - no invariants,,,all,https://spdx.org/licenses/GFDL-1.2-no-invariants-only,spdx,
gfdl-1.2-no-invariants-or-later,GNU Free Documentation License v1.2 or later - no invariants,,,all,https://spdx.org/licenses/GFDL-1.2-no-invariants-or-later,spdx,
gfdl-1.2-only,GNU Free Documentation License v1.2 only,,,all,https://spdx.org/licenses/GFDL-1.2-only,spdx,
gfdl-1.2-or-later,GNU Free Documentation License v1.2 or later,,,all,https://spdx.org/licenses/GFDL-1.2-or-later,spdx,
gfdl-1.3-invariants-only,GNU Free Documentation License v1.3 only - invariants,,,all,https://spdx.org/licenses/GFDL-1.3-invariants-only,spdx,
gfdl-1.3-invariants-or-later,GNU Free Documentation License v1.3 or later - invariants,,,all,https://spdx.org/licenses/GFDL-1.3-invariants-or-later,spdx,
gfdl-1.3-no-invariants-only,GNU Free Documentation License v1.3 only - no invariants,,,all,https://spdx.org/licenses/GFDL-1.3-no-invariants-only,spdx,
gfdl-1.3-no-invariants-or-later,GNU Free Documentation License v1.3 or later - no invariants,,,all,https://spdx.org/licenses/GFDL-1.3-no-invariants-or-later,spdx,
gfdl-1.3-only,GNU Free Documentation License v1.3 only,,,all,https://spdx.org/licenses/GFDL-1.3-only,spdx,
gfdl-1.3-or-later,GNU Free Documentation License v1.3 or later,,,all,https://spdx.org/licenses/GFDL-1.3-or-later,spdx,
gl2ps,GL2PS License,,,all,https://spdx.org/licenses/GL2PS,spdx,
glwtpl,Good Luck With That Public License,,,all,https://spdx.org/licenses/GLWTPL,spdx,
gpl-1.0-only,GNU General Public License v1.0 only,,,"all,software",https://opensource.org/license/gpl-1-0,spdx,
gpl-1.0-or-later,GNU General Public License v1.0 or later,,,"all,software",https://spdx.org/licenses/GPL-1.0-or-later,spdx,
gpl-2.0-only,GNU General Public License v2.0 only,,,"all,software",https://opensource.org/license/gpl-2-0,spdx,y
gpl-2.0-or-later,GNU General Public License v2.0 or later,,,"all,software",https://spdx.org/licenses/GPL-2.0-or-later,spdx,y
gpl-3.0-only,GNU General Public License v3.0 only,,,"all,software",https://opensource.org/license/gpl-3-0,spdx,y
gpl-3.0-or-later,GNU General Public License v3.0 or later,"Permissions of this strong copyleft license are conditioned on making available complete source code of licensed works and modifications, which include larger works using a licensed work, under the same license. Copyright and license notices must be preserved. Contributors provide an express grant of patent rights.",,"recommended,all,software",https://spdx.org/licenses/GPL-3.0-or-later,spdx,y
giftware,Giftware License,,,all,https://spdx.org/licenses/Giftware,spdx,
glide,3dfx Glide License,,,all,https://spdx.org/licenses/Glide,spdx,
glulxe,Glulxe License,,,all,https://spdx.org/licenses/Glulxe,spdx,
hpnd,Historical Permission Notice and Disclaimer,,,"all,software",https://opensource.org/license/historical-php,spdx,y
hpnd-sell-variant,Historical Permission Notice and Disclaimer - sell variant,,,"all,software",https://spdx.org/licenses/HPND-sell-variant,spdx,
htmltidy,HTML Tidy License,,,all,https://spdx.org/licenses/HTMLTIDY,spdx,
haskellreport,Haskell Language Report License,,,all,https://spdx.org/licenses/HaskellReport,spdx,
hippocratic-2.1,Hippocratic License 2.1,,,all,https://spdx.org/licenses/Hippocratic-2.1,spdx,
ibm-pibs,IBM PowerPC Initialization and Boot Software,,,"all,software",https://spdx.org/licenses/IBM-pibs,spdx,
icu,ICU License,,,all,https://spdx.org/licenses/ICU,spdx,
ijg,Independent JPEG Group License,,,all,https://spdx.org/licenses/IJG,spdx,
ipa,IPA Font License,,,"all,software",https://opensource.org/license/ipafont-html,spdx,y
ipl-1.0,IBM Public License v1.0,,,"all,software",https://opensource.org/license/ibmpl-php,spdx,y
isc,ISC License,,,"all,software",https://opensource.org/license/isc-license-txt,spdx,y
imagemagick,ImageMagick License,,,all,https://spdx.org/licenses/ImageMagick,spdx,
imlib2,Imlib2 License,,,all,https://spdx.org/licenses/Imlib2,spdx,
info-zip,Info-ZIP License,,,all,https://spdx.org/licenses/Info-ZIP,spdx,
intel,Intel Open Source License,,,"all,software",https://opensource.org/license/intel,spdx,y
intel-acpi,Intel ACPI Software License Agreement,,,"all,software",https://spdx.org/licenses/Intel-ACPI,spdx,
interbase-1.0,Interbase Public License v1.0,,,all,https://spdx.org/licenses/Interbase-1.0,spdx,
jpnic,Japan Network Information Center License,,,all,https://spdx.org/licenses/JPNIC,spdx,
json,JSON License,,,all,https://spdx.org/licenses/JSON,spdx,
jasper-2.0,JasPer License,,,all,https://spdx.org/licenses/JasPer-2.0,spdx,
lal-1.2,Licence Art Libre 1.2,,,all,https://spdx.org/licenses/LAL-1.2,spdx,
lal-1.3,Licence Art Libre 1.3,,,all,https://spdx.org/licenses/LAL-1.3,spdx,
lgpl-2.0-only,GNU Library General Public License v2 only,,,"all,software",https://opensource.org/license/lgpl-2-0,spdx,y
lgpl-2.0-or-later,GNU Library General Public License v2 or later,,,"all,software",https://spdx.org/licenses/LGPL-2.0-or-later,spdx,y
lgpl-2.1-only,GNU Lesser General Public License v2.1 only,,,"all,software",https://opensource.org/license/lgpl-2-1,spdx,y
lgpl-2.1-or-later,GNU Lesser General Public License v2.1 or later,,,"all,software",https://spdx.org/licenses/LGPL-2.1-or-later,spdx,y
lgpl-3.0-only,GNU Lesser General Public License v3.0 only,,,"all,software",https://opensource.org/license/lgpl-3-0,spdx,y
lgpl-3.0-or-later,GNU Lesser General Public License v3.0 or later,"Permissions of this copyleft license are conditioned on making available complete source code of licensed works and modifications under the same license or the GNU GPLv3. Copyright and license notices must be preserved. Contributors provide an express grant of patent rights. However, a larger work using the licensed work through interfaces provided by the licensed work may be distributed under different terms and without source code for the larger work.",,"all,software",https://spdx.org/licenses/LGPL-3.0-or-later,spdx,y
lgpllr,Lesser General Public License For Linguistic Resources,,,"all,software",https://spdx.org/licenses/LGPLLR,spdx,
lpl-1.0,Lucent Public License Version 1.0,,,"all,software",https://opensource.org/license/lpl-1-0,spdx,y
lpl-1.02,Lucent Public License v1.02,,,"all,software",https://opensource.org/license/lucent1-02-php,spdx,y
lppl-1.0,LaTeX Project Public License v1.0,,,"all,software",https://spdx.org/licenses/LPPL-1.0,spdx,
lppl-1.1,LaTeX Project Public License v1.1,,,"all,software",https://spdx.org/licenses/LPPL-1.1,spdx,
lppl-1.2,LaTeX Project Public License v1.2,,,"all,software",https://spdx.org/licenses/LPPL-1.2,spdx,
lppl-1.3a,LaTeX Project Public License v1.3a,,,"all,software",https://spdx.org/licenses/LPPL-1.3a,spdx,
lppl-1.3c,LaTeX Project Public License v1.3c,,,"all,software",https://opensource.org/license/lppl,spdx,y
